Category,EndpointUri,Method,Function,Complete,Examples,Notes
Cards,/cards/<id>,GET,Get-PokemonTCGCard,No,,
Cards,/cards,GET,Get-PokemonTCGCard,No,Get-PokemonTCGRandomCard,
Sets,/sets/<id>,GET,Get-PokemonTCGSet,No,Get-PokemonTCGRandomCard,
Sets,/sets,GET,Get-PokemonTCGSet,No,Get-PokemonTCGRandomCard,
Types,/types,GET,Get-PokemonTCGType,No,Get-PokemonTCGOverview,
Subtypes,/subtypes,GET,Get-PokemonTCGSubtype,No,Get-PokemonTCGOverview,
Supertypes,/supertypes,GET,Get-PokemonTCGSupertype,No,Get-PokemonTCGOverview,
Rarities,/rarities,GET,Get-PokemonTCGRarity,No,Get-PokemonTCGOverview,
Internal,,POST,Add-PokemonTCGApiKey,No,,
Internal,,POST,Add-PokemonTCGBaseURI,No,,
Internal,,PUT,ConvertTo-PokemonTCGQueryString,No,,
Internal,,GET,Export-PokemonTCGModuleSettings,No,,
Internal,,GET,Get-PokemonTCGApiKey,No,,
Internal,,GET,Get-PokemonTCGBaseURI,No,,
Internal,,GET,Get-PokemonTCGModuleSettings,No,,
Internal,,GET,Import-PokemonTCGModuleSettings,No,,
Internal,,GET,Invoke-PokemonTCGRequest,No,,
Internal,,DELETE,Remove-PokemonTCGApiKey,No,,
Internal,,DELETE,Remove-PokemonTCGBaseURI,No,,
Internal,,DELETE,Remove-PokemonTCGModuleSettings,No,,
Internal,,GET,Test-PokemonTCGApiKey,No,,
Internal,,POST,Initialize-PokemonTCGModuleSettings,No,,
